index,title,filename,split,width,height,source_url,caption
1,A Lane Near Arles,vangogh_01_a_lane_near_arles.jpg,curated,2242,2725,https://www.wikiart.org/en/vincent-van-gogh/a-lane-near-arles-1888,"<vangogh_style>, A Lane Near Arles, post-impressionist oil painting, expressive brushstrokes, vivid color palette, museum-quality artwork"
2,A Mousme,vangogh_02_a_mousme.jpg,curated,1916,2372,https://www.wikiart.org/en/vincent-van-gogh/a-mousme-1888,"<vangogh_style>, A Mousme, post-impressionist oil painting, expressive brushstrokes, vivid color palette, museum-quality artwork"
3,A Pair Of Leather Clogs,vangogh_03_a_pair_of_leather_clogs.jpg,curated,2730,2190,https://www.wikiart.org/en/vincent-van-gogh/a-pair-of-leather-clogs-1888,"<vangogh_style>, A Pair Of Leather Clogs, post-impressionist oil painting, expressive brushstrokes, vivid color palette, museum-quality artwork"
4,A Pair Of Shoes,vangogh_04_a_pair_of_shoes.jpg,curated,1505,1251,https://www.wikiart.org/en/vincent-van-gogh/a-pair-of-shoes-1888,"<vangogh_style>, A Pair Of Shoes, post-impressionist oil painting, expressive brushstrokes, vivid color palette, museum-quality artwork"
5,A Pork Butcher S Shop Seen From A Window,vangogh_05_a_pork_butcher_s_shop_seen_from_a_window.jpg,curated,1770,2179,https://www.wikiart.org/en/vincent-van-gogh/a-pork-butcher-s-shop-seen-from-a-window-1888,"<vangogh_style>, A Pork Butcher S Shop Seen From A Window, post-impressionist oil painting, expressive brushstrokes, vivid color palette, museum-quality artwork"
6,Almond Tree In Blossom,vangogh_06_almond_tree_in_blossom.jpg,curated,1697,2320,https://www.wikiart.org/en/vincent-van-gogh/almond-tree-in-blossom-1888,"<vangogh_style>, Almond Tree In Blossom, post-impressionist oil painting, expressive brushstrokes, vivid color palette, museum-quality artwork"
7,Alychamps,vangogh_07_alychamps.jpg,curated,1409,1785,https://www.wikiart.org/en/vincent-van-gogh/alychamps-1888,"<vangogh_style>, Alychamps, post-impressionist oil painting, expressive brushstrokes, vivid color palette, museum-quality artwork"
8,Alychamps Autumn,vangogh_08_alychamps_autumn.jpg,curated,1624,1270,https://www.wikiart.org/en/vincent-van-gogh/alychamps-autumn-1888,"<vangogh_style>, Alychamps Autumn, post-impressionist oil painting, expressive brushstrokes, vivid color palette, museum-quality artwork"
9,Apricot Trees In Blossom,vangogh_09_apricot_trees_in_blossom.jpg,curated,2340,1921,https://www.wikiart.org/en/vincent-van-gogh/apricot-trees-in-blossom-1888,"<vangogh_style>, Apricot Trees In Blossom, post-impressionist oil painting, expressive brushstrokes, vivid color palette, museum-quality artwork"
10,Arles View From The Wheat Fields,vangogh_10_arles_view_from_the_wheat_fields.jpg,curated,2253,2725,https://www.wikiart.org/en/vincent-van-gogh/arles-view-from-the-wheat-fields-1888,"<vangogh_style>, Arles View From The Wheat Fields, post-impressionist oil painting, expressive brushstrokes, vivid color palette, museum-quality artwork"
11,Bank Of The Rhone At Arles,vangogh_11_bank_of_the_rhone_at_arles.jpg,curated,2505,1605,https://www.wikiart.org/en/vincent-van-gogh/bank-of-the-rhone-at-arles-1888,"<vangogh_style>, Bank Of The Rhone At Arles, post-impressionist oil painting, expressive brushstrokes, vivid color palette, museum-quality artwork"
12,Blossoming Almond Branch In A Glass,vangogh_12_blossoming_almond_branch_in_a_glass.jpg,curated,1494,1908,https://www.wikiart.org/en/vincent-van-gogh/blossoming-almond-branch-in-a-glass-1888,"<vangogh_style>, Blossoming Almond Branch In A Glass, post-impressionist oil painting, expressive brushstrokes, vivid color palette, museum-quality artwork"
13,Breton Women,vangogh_13_breton_women.jpg,curated,1628,1252,https://www.wikiart.org/en/vincent-van-gogh/breton-women-1888,"<vangogh_style>, Breton Women, post-impressionist oil painting, expressive brushstrokes, vivid color palette, museum-quality artwork"
14,Cafe Terrace Place Du Forum Arles,vangogh_14_cafe_terrace_place_du_forum_arles.jpg,curated,1761,2235,https://www.wikiart.org/en/vincent-van-gogh/cafe-terrace-place-du-forum-arles-1888,"<vangogh_style>, Cafe Terrace Place Du Forum Arles, post-impressionist oil painting, expressive brushstrokes, vivid color palette, museum-quality artwork"
15,Coal Barges,vangogh_15_coal_barges.jpg,curated,1276,1024,https://www.wikiart.org/en/vincent-van-gogh/coal-barges-1888,"<vangogh_style>, Coal Barges, post-impressionist oil painting, expressive brushstrokes, vivid color palette, museum-quality artwork"
16,Entrance To The Public Garden In Arles,vangogh_16_entrance_to_the_public_garden_in_arles.jpg,curated,1277,1024,https://www.wikiart.org/en/vincent-van-gogh/entrance-to-the-public-garden-in-arles-1888,"<vangogh_style>, Entrance To The Public Garden In Arles, post-impressionist oil painting, expressive brushstrokes, vivid color palette, museum-quality artwork"
17,Farmer With Straw Hat,vangogh_17_farmer_with_straw_hat.jpg,curated,1749,2343,https://www.wikiart.org/en/vincent-van-gogh/farmer-with-straw-hat-1888,"<vangogh_style>, Farmer With Straw Hat, post-impressionist oil painting, expressive brushstrokes, vivid color palette, museum-quality artwork"
18,Farmers Working In The Field,vangogh_18_farmers_working_in_the_field.jpg,curated,2550,1869,https://www.wikiart.org/en/vincent-van-gogh/farmers-working-in-the-field-1888,"<vangogh_style>, Farmers Working In The Field, post-impressionist oil painting, expressive brushstrokes, vivid color palette, museum-quality artwork"
19,Farmhouse In A Wheat Field,vangogh_19_farmhouse_in_a_wheat_field.jpg,curated,2024,1484,https://www.wikiart.org/en/vincent-van-gogh/farmhouse-in-a-wheat-field-1888,"<vangogh_style>, Farmhouse In A Wheat Field, post-impressionist oil painting, expressive brushstrokes, vivid color palette, museum-quality artwork"
20,Farmhouse In Provence,vangogh_20_farmhouse_in_provence.jpg,curated,2349,1756,https://www.wikiart.org/en/vincent-van-gogh/farmhouse-in-provence-1888,"<vangogh_style>, Farmhouse In Provence, post-impressionist oil painting, expressive brushstrokes, vivid color palette, museum-quality artwork"
21,Field With Flowers,vangogh_21_field_with_flowers.jpg,curated,2987,2439,https://www.wikiart.org/en/vincent-van-gogh/field-with-flowers-1888,"<vangogh_style>, Field With Flowers, post-impressionist oil painting, expressive brushstrokes, vivid color palette, museum-quality artwork"
22,Garden Behind A House,vangogh_22_garden_behind_a_house.jpg,curated,2198,2704,https://www.wikiart.org/en/vincent-van-gogh/garden-behind-a-house-1888,"<vangogh_style>, Garden Behind A House, post-impressionist oil painting, expressive brushstrokes, vivid color palette, museum-quality artwork"
23,Garden With Weeping Willow,vangogh_23_garden_with_weeping_willow.jpg,curated,1217,1024,https://www.wikiart.org/en/vincent-van-gogh/garden-with-weeping-willow-1888,"<vangogh_style>, Garden With Weeping Willow, post-impressionist oil painting, expressive brushstrokes, vivid color palette, museum-quality artwork"
24,Green Ears Of Wheat,vangogh_24_green_ears_of_wheat.jpg,curated,1254,1024,https://www.wikiart.org/en/vincent-van-gogh/green-ears-of-wheat-1888,"<vangogh_style>, Green Ears Of Wheat, post-impressionist oil painting, expressive brushstrokes, vivid color palette, museum-quality artwork"
25,Harvest At La Crau With Montmajour In The Background,vangogh_25_harvest_at_la_crau_with_montmajour_in_the_background.jpg,curated,2886,2285,https://www.wikiart.org/en/vincent-van-gogh/harvest-at-la-crau-with-montmajour-in-the-background-1888,"<vangogh_style>, Harvest At La Crau With Montmajour In The Background, post-impressionist oil painting, expressive brushstrokes, vivid color palette, museum-quality artwork"
26,Haystacks In Provence,vangogh_26_haystacks_in_provence.jpg,curated,2838,2287,https://www.wikiart.org/en/vincent-van-gogh/haystacks-in-provence-1888,"<vangogh_style>, Haystacks In Provence, post-impressionist oil painting, expressive brushstrokes, vivid color palette, museum-quality artwork"
27,Hill With The Ruins Of Montmajour,vangogh_27_hill_with_the_ruins_of_montmajour.jpg,curated,1918,1531,https://www.wikiart.org/en/vincent-van-gogh/hill-with-the-ruins-of-montmajour-1888,"<vangogh_style>, Hill With The Ruins Of Montmajour, post-impressionist oil painting, expressive brushstrokes, vivid color palette, museum-quality artwork"
28,La Crau,vangogh_28_la_crau.jpg,curated,2261,1456,https://www.wikiart.org/en/vincent-van-gogh/la-crau-1888,"<vangogh_style>, La Crau, post-impressionist oil painting, expressive brushstrokes, vivid color palette, museum-quality artwork"
29,Ladies Of Arles Memories Of The Garden At Etten,vangogh_29_ladies_of_arles_memories_of_the_garden_at_etten.jpg,curated,2145,1646,https://www.wikiart.org/en/vincent-van-gogh/ladies-of-arles-memories-of-the-garden-at-etten-1888,"<vangogh_style>, Ladies Of Arles Memories Of The Garden At Etten, post-impressionist oil painting, expressive brushstrokes, vivid color palette, museum-quality artwork"
30,Landscape Under A Stormy Sky,vangogh_30_landscape_under_a_stormy_sky.jpg,curated,1219,1024,https://www.wikiart.org/en/vincent-van-gogh/landscape-under-a-stormy-sky-1888,"<vangogh_style>, Landscape Under A Stormy Sky, post-impressionist oil painting, expressive brushstrokes, vivid color palette, museum-quality artwork"
31,Landscape With Snow,vangogh_31_landscape_with_snow.jpg,raw_only,1246,1024,https://www.wikiart.org/en/vincent-van-gogh/landscape-with-snow-1888,"<vangogh_style>, Landscape With Snow, post-impressionist oil painting, expressive brushstrokes, vivid color palette, museum-quality artwork"
32,Les Alyscamps,vangogh_32_les_alyscamps.jpg,raw_only,2430,3121,https://www.wikiart.org/en/vincent-van-gogh/les-alyscamps-1888,"<vangogh_style>, Les Alyscamps, post-impressionist oil painting, expressive brushstrokes, vivid color palette, museum-quality artwork"
33,Montmajour,vangogh_33_montmajour.jpg,raw_only,2331,1860,https://www.wikiart.org/en/vincent-van-gogh/montmajour-1888,"<vangogh_style>, Montmajour, post-impressionist oil painting, expressive brushstrokes, vivid color palette, museum-quality artwork"
34,Mother Roulin With Her Baby,vangogh_34_mother_roulin_with_her_baby.jpg,raw_only,1325,1706,https://www.wikiart.org/en/vincent-van-gogh/mother-roulin-with-her-baby-1888,"<vangogh_style>, Mother Roulin With Her Baby, post-impressionist oil painting, expressive brushstrokes, vivid color palette, museum-quality artwork"
35,Oleanders And Books,vangogh_35_oleanders_and_books.jpg,raw_only,3740,3061,https://www.wikiart.org/en/vincent-van-gogh/oleanders-and-books-1888,"<vangogh_style>, Oleanders And Books, post-impressionist oil painting, expressive brushstrokes, vivid color palette, museum-quality artwork"
36,Orchard In Blossom,vangogh_36_orchard_in_blossom.jpg,raw_only,1491,2022,https://www.wikiart.org/en/vincent-van-gogh/orchard-in-blossom-1888,"<vangogh_style>, Orchard In Blossom, post-impressionist oil painting, expressive brushstrokes, vivid color palette, museum-quality artwork"
37,Orchard With Blossoming Apricot Trees,vangogh_37_orchard_with_blossoming_apricot_trees.jpg,raw_only,1280,1024,https://www.wikiart.org/en/vincent-van-gogh/orchard-with-blossoming-apricot-trees-1888,"<vangogh_style>, Orchard With Blossoming Apricot Trees, post-impressionist oil painting, expressive brushstrokes, vivid color palette, museum-quality artwork"
38,Orchard With Peach Trees In Blossom,vangogh_38_orchard_with_peach_trees_in_blossom.jpg,raw_only,1249,1024,https://www.wikiart.org/en/vincent-van-gogh/orchard-with-peach-trees-in-blossom-1888,"<vangogh_style>, Orchard With Peach Trees In Blossom, post-impressionist oil painting, expressive brushstrokes, vivid color palette, museum-quality artwork"
39,Path Through A Field With Willows,vangogh_39_path_through_a_field_with_willows.jpg,raw_only,2552,2073,https://www.wikiart.org/en/vincent-van-gogh/path-through-a-field-with-willows-1888,"<vangogh_style>, Path Through A Field With Willows, post-impressionist oil painting, expressive brushstrokes, vivid color palette, museum-quality artwork"
40,Paul Gauguin Man In A Red Beret,vangogh_40_paul_gauguin_man_in_a_red_beret.jpg,raw_only,1350,1544,https://www.wikiart.org/en/vincent-van-gogh/paul-gauguin-man-in-a-red-beret-1888,"<vangogh_style>, Paul Gauguin Man In A Red Beret, post-impressionist oil painting, expressive brushstrokes, vivid color palette, museum-quality artwork"
